graine,RMSE,score_asymétrique
0,15.072250752327307,41628.39908014452
1,15.401410665183759,45332.53861413384
2,15.259146795728201,50829.1555093389
3,15.108870336097779,48474.92363603405
4,15.225425669860995,49117.87702270757
