graine,RMSE,score_asymétrique
0,15.447453180332085,43555.54114651756
1,15.63715556460238,51059.10327419702
2,15.169442416873412,46929.37358893057
3,15.399488988669015,52219.15367606398
4,15.591612921629336,49505.42434629162
